,label
Sample_0318,1
Sample_0319,1
Sample_0320,1
Sample_0321,0
Sample_0322,1
Sample_0323,0
Sample_0324,1
Sample_0325,1
Sample_0326,1
Sample_0327,1
Sample_0328,0
Sample_0329,0
Sample_0330,0
Sample_0331,1
Sample_0332,1
Sample_0333,1
Sample_0334,1
Sample_0335,0
Sample_0336,1
Sample_0337,0
Sample_0338,1
Sample_0339,0
Sample_0340,1
Sample_0341,1
Sample_0342,1
Sample_0343,0
Sample_0344,1
Sample_0345,1
Sample_0346,1
Sample_0347,1
Sample_0348,1
Sample_0349,1
Sample_0350,1
Sample_0351,0
Sample_0352,0
Sample_0353,0
Sample_0354,1
Sample_0355,1
Sample_0356,1
Sample_0357,1
Sample_0358,1
Sample_0359,1
Sample_0360,1
Sample_0361,1
Sample_0362,1
Sample_0363,1
Sample_0364,1
Sample_0365,0
Sample_0366,0
Sample_0367,1
Sample_0368,0
Sample_0369,0
Sample_0370,0
Sample_0371,1
Sample_0372,0
Sample_0373,0
Sample_0374,1
Sample_0375,1
Sample_0376,1
Sample_0377,1
Sample_0378,1
Sample_0379,0
Sample_0380,1
Sample_0381,1
Sample_0382,1
Sample_0383,1
Sample_0384,1
Sample_0385,0
Sample_0386,1
Sample_0387,1
Sample_0388,1
Sample_0389,0
Sample_0390,1
Sample_0391,1
Sample_0392,0
Sample_0393,0
Sample_0394,1
Sample_0395,1
Sample_0396,1
Sample_0397,1
Sample_0398,1
Sample_0399,1
Sample_0400,0
Sample_0401,1
Sample_0402,1
Sample_0403,1
Sample_0404,1
Sample_0405,1
Sample_0406,1
Sample_0407,1
Sample_0408,0
Sample_0409,1
Sample_0410,1
Sample_0411,1
Sample_0412,1
Sample_0413,1
Sample_0414,0
Sample_0415,1
Sample_0416,1
Sample_0417,0
Sample_0418,1
Sample_0419,1
Sample_0420,1
Sample_0421,1
Sample_0422,1
Sample_0423,1
Sample_0424,1
Sample_0425,1
Sample_0426,1
Sample_0427,1
Sample_0428,1
Sample_0429,1
Sample_0430,0
Sample_0431,1
Sample_0432,0
Sample_0433,0
Sample_0434,1
Sample_0435,0
Sample_0436,1
Sample_0437,1
Sample_0438,1
Sample_0439,1
Sample_0440,1
Sample_0441,0
Sample_0442,1
Sample_0443,1
Sample_0444,0
Sample_0445,1
Sample_0446,0
Sample_0447,1
Sample_0448,1
Sample_0449,0
Sample_0450,1
Sample_0451,0
Sample_0452,1
Sample_0453,1
Sample_0454,1
Sample_0455,1
Sample_0456,1
Sample_0457,1
Sample_0458,1
Sample_0459,1
Sample_0460,0
Sample_0461,0
Sample_0462,1
Sample_0463,1
Sample_0464,1
Sample_0465,1
Sample_0466,1
Sample_0467,1
Sample_0468,0
Sample_0469,1
Sample_0470,1
Sample_0471,1
Sample_0472,1
Sample_0473,1
Sample_0474,1
Sample_0475,1
Sample_0476,1
Sample_0477,1
Sample_0478,1
Sample_0479,0
Sample_0480,1
Sample_0481,1
Sample_0482,1
Sample_0483,1
Sample_0484,1
Sample_0485,1
Sample_0486,1
Sample_0487,0
Sample_0488,1
Sample_0489,0
Sample_0490,1
Sample_0491,1
Sample_0492,0
Sample_0493,1
Sample_0494,1
Sample_0495,1
Sample_0496,1
Sample_0497,1
Sample_0498,0
Sample_0499,0
Sample_0500,1
Sample_0501,0
Sample_0502,1
Sample_0503,0
Sample_0504,1
Sample_0505,1
Sample_0506,1
Sample_0507,1
Sample_0508,1
Sample_0509,0
Sample_0510,1
Sample_0511,1
Sample_0512,0
Sample_0513,1
Sample_0514,0
Sample_0515,1
Sample_0516,0
Sample_0517,0
Sample_0518,1
Sample_0519,1
Sample_0520,1
Sample_0521,0
Sample_0522,1
Sample_0523,1
Sample_0524,1
Sample_0525,1
Sample_0526,1
Sample_0527,1
Sample_0528,1
Sample_0529,1
Sample_0530,1
Sample_0531,1
Sample_0532,1
Sample_0533,0
Sample_0534,1
Sample_0535,0
Sample_0536,0
Sample_0537,1
Sample_0538,1
Sample_0539,1
Sample_0540,1
Sample_0541,1
Sample_0542,1
Sample_0543,1
Sample_0544,1
Sample_0545,1
Sample_0546,1
Sample_0547,1
Sample_0548,1
Sample_0549,1
Sample_0550,1
Sample_0551,1
Sample_0552,1
Sample_0553,1
Sample_0554,1
Sample_0555,1
Sample_0556,1
Sample_0557,1
Sample_0558,1
Sample_0559,1
Sample_0560,1
Sample_0561,1
Sample_0562,0
Sample_0563,0
Sample_0564,0
Sample_0565,0
Sample_0566,0
Sample_0567,0
Sample_0568,1
